Source,Target,Author
5763,1956,Ralf Hartmut G&#252;ting
3233,1442,Christian S. Jensen
328,5745,Manolis Koubarakis
328,4434,Nikos Lorentzos
328,1439,Enrico Nardelli
328,4473,Barbara Pernici
1184,4485,Hans-J&#246;rg Schek
328,1681,Timos Sellis
328,4473,Babis Theodoulidis
328,3219,Peter Widmayer
342,4575,S. Conrad
4575,342,W. Hasselbring
342,1527,R.-D. Kutsche
4575,342,M. Roantree
342,4575,F. Saltor
4609,4961,Arnon Rosenthal
3504,1851,Edward Sciore
3277,4101,Dennis McLeod
4464,362,Klaus R. Dittrich
5121,3454,Jian Pei
373,3766,Le Gruenwald
373,3766,Leonard Brown
381,5190,Pradeep Shenoy
5219,1284,Jayant R. Haritsa
5634,381,Mayank Bawa
388,2324,Erik Riedel
2610,395,Mark Roantree
3682,2653,Stefano Ceri
4104,2473,Piero Fraternali
2722,2473,Stefano Paraboschi
482,5291,Andrew Eisenberg
4193,482,Jim Melton
2441,1227,Anindya Datta
409,3737,Debra E. VanderMeer
409,5506,Vijay Kumar
1888,1891,Amit Sheth
4961,418,Len Seligman
3973,2566,Surajit Chaudhuri
1057,3937,Luis Gravano
4513,3524,H&#233;ctor Garc&#237;a-Molina
2976,4513,Anthony Tomasic
1726,430,Jef Wijsen
432,4770,Tolga Bozkaya
432,4770,Meral Ozsoyoglu
2538,3212,Fabio Casati
438,4679,G&#237;sli R. Hjaltason
3200,3940,Hanan Samet
4193,445,Phil Bernstein
952,445,David DeWitt
4193,1510,Jim Gray
4359,2829,H. V. Jagadish
5594,445,Michael Lesk
1306,445,Mike Stonebraker
5211,877,Jeff Ullman
459,2995,Peter C. Lockemann
5383,479,A. Sheth
488,3165,M. P. Papazoglou
4530,491,Arun Hampapur
496,1673,Mario A. Nascimento
496,4491,Claudia Bauzer Medeiros
1830,2635,Avigdor Gal
4572,501,Marian Nodine
506,788,S. Castano
514,3826,Stefano Spaccapietra
5724,518,Roger H. L. Chiang
522,5109,Justin Zobel
522,5109,Alistair Moffat
3234,1831,Kotagiri Ramamohanarao
1731,3171,Sharad Mehrotra
2786,3171,Henry F. Korth
2945,2786,Abraham Silberschatz
530,3995,A. Prasad Sistla
530,5516,Yelena Yesha
3901,534,David Konopnicki
3901,3645,Oded Shmueli
5059,4113,Limsoon Wong
2929,2865,Shaul Dar
2865,541,Gadi Entin
2865,541,Shai Geva
2865,541,Eran Palmon
4232,546,Abdelsalam Helal
3993,546,Weimin Du
5259,3857,Joseph M. Hellerstein
552,861,Osmar R. Za&#239;ane
5504,565,Motomichi Toyama
1470,567,Ron Avnur
5280,616,Chris Olston
3432,2499,Bhaskaran Raman
2499,3432,Vijayshankar Raman
4991,3055,Marcel Kornacker
2006,575,Mehul Shah
2640,578,Zo&#233; Lacroix
2328,578,Arnaud Sahuguet
3280,588,Maria E. Orlowska
592,4686,William W. Cohen
594,3493,Jos&#233; Luis Ambite
4600,594,Naveen Ashish
4600,594,Craig A. Knoblock
616,4338,Alexander Aiken
1344,616,Michael Stonebraker
1092,712,Vivek Narasayya
1409,4995,Dennis Shasha
644,1004,Tirthankar Lahiri
644,1004,Ashok Joshi
649,2975,Gopalan Arun
2955,653,Huan Liu
5371,669,Berthold Reinwald
675,4433,Jos&#233; A. Blakeley
678,3606,Johannes Klein
3266,4648,Stefan Berchtold
689,5722,Florian Matthes
3223,5647,John Mylopoulos
1122,2853,Per-&#197;ke Larson
2466,4516,Goetz Graefe
776,697,Yuri Breitbart
3741,3015,Yossi Matias
2305,3741,Jeffrey Scott Vitter
701,3741,Min Wang
705,769,David Lomet
705,3066,Gerhard Weikum
731,708,Gurmeet Singh Manku
3481,731,Sridhar Rajagopalan
708,2181,Bruce G. Lindsay
4674,712,Rajeev Motwani
714,781,S. Adali
714,781,M. L. Sapino
3521,714,V. S. Subrahmanian
5136,1746,Mary Fern&#225;ndez
1409,4870,Daniela Florescu
5343,4850,Jaewoo Kang
737,4841,Alon Levy
2450,724,Michael Jaedicke
2450,724,Bernhard Mitschang
5193,3914,Peter J. Haas
5282,2595,Ioana Manolescu
737,1795,Zachary G. Ives
960,737,Daniel S. Weld
741,4719,Chen-Chuan K. Chang
3203,2693,Arunprasad P. Marathe
1088,5601,Johannes Gehrke
745,3738,Venkatesh Ganti
749,4663,Alex Pang
752,3769,Ashraf Aboulnaga
5232,754,Chee-Yong Chan
2689,2825,Yannis E. Ioannidis
3587,757,Ju-Hong Lee
757,5269,Deok-Hwan Kim
3587,2061,Chin-Wan Chung
761,5545,Bj&#246;rn Blohsfeld
4011,766,Jong Soo Park
769,5241,Mark Tuttle
771,2567,Jayavel Shanmugasundaram
771,3236,Krithi Ramamritham
3171,5061,Avi Silberschatz
2904,779,Hasan M. Jamil
2497,5282,Tova Milo
4234,782,Divesh Srivastava
4926,782,Dimitra Vista
788,3445,B. Pernici
2660,1604,Elisa Bertino
792,3996,Claudio Bettini
792,3140,Elena Ferrari
792,3140,Pierangela Samarati
4363,797,M. Missikoff
801,1176,Nikos Mamoulis
801,2081,Dimitris Papadias
1731,805,Kaushik Chakrabarti
808,2884,Mihael Ankerst
810,4690,David A. Patterson
1188,1189,Richard Snodgrass
819,2182,Paul Larson
1805,5011,Kenneth A. Ross
4184,1773,Salvatore J. Stolfo
4969,826,Alberto Mendelzon
3014,2376,Curtis E. Dyreson
2116,3141,Richard Thomas Snodgrass
834,4019,J. Thomas
867,5031,A. Biliris
867,843,W. O'Connell
867,3144,E. Panagos
848,5107,Timothy Griffin
3440,851,Ada Wai-Chee Fu
2690,1540,Martin Staudt
4851,861,Jaiwei Han
2050,2060,Wei Wang
4851,861,Krzysztof Koperski
867,5031,S. Choo
867,5031,D. Schrader
3904,4993,Dallan Quass
5510,3721,Jennifer Widom
2727,877,Roy Goldman
4589,877,Jason McHugh
5409,4674,Svetlozar Nestorov
2497,4605,Serge Abiteboul
888,4360,Kamalakar Karlapalem
2369,898,Fatma Ozcan
1888,898,Budak Arpinar
898,4330,Cem Evrendilek
1154,5027,Takeshi Fukuda
1154,908,Yasuhiko Morimoto
5027,908,Shinichi Morishita
1154,5027,Takeshi Tokuyama
4992,2561,Michael J. Carey
3462,3463,Michael J. Franklin
3153,3517,Klemens B&#246;hm
5632,2242,Karl Aberer
931,3689,Sihem Amer-Yahia
5202,931,SungRan Cho
1025,934,Ren&#233;e J. Miller
2369,1025,Laura M. Haas
1723,5228,Ronald Fagin
2985,942,Daphne Koller
1993,5260,Amr El Abbadi
5532,948,Benjamin Nguyen
2407,1191,Chun Zhang
952,1817,Jeffrey Naughton
1795,2181,Qiong Luo
2187,1709,Guy Lohman
5665,2089,Igor Tatarinov
960,3585,Alon Y. Halevy
3008,972,K. Sel&#231;uk Candan
972,3798,Wang-Pin Hsiung
2755,2757,Felipe Cari&#241;o
2478,975,John Burgess
5528,980,AnHai Doan
5528,980,Pedro Domingos
3425,2754,Kian-Lee Tan
5043,990,Prashant Shenoy
1000,2345,Jarek Gryz
1000,5116,Calisto Zuzarte
1009,4881,C&#233;sar Galindo-Legaria
1012,2125,Sanjay Agrawal
4891,4421,Tiziana Catarci
4928,4421,Giuseppe Santucci
1017,1427,Kajal T. Claypool
1248,2279,Elke A. Rundensteiner
1248,1017,Xin Zhang
4184,1025,Mauricio A. Hern&#225;ndez
1377,1027,Henrique Paques
2637,1029,Silvana Castano
2579,1031,David Botzer
1610,2579,Opher Etzion
2579,1031,Tali Yatzkar-Haham
4994,3945,Sudarshan S. Chawathe
5066,1039,Ramesh C. Agarwal
4694,1039,Vipin Kumar
5272,1043,Peer Kr&#246;ger
3522,4742,Fran&#231;oise Fabret
3522,2694,Fran&#231;ois Llirbat
1746,1050,Atsuyuki Morishima
4193,4993,Patrick O'Neil
4193,1052,Elizabeth O'Neil
1057,3546,Panagiotis G. Ipeirotis
1995,1060,Sanjeev Khanna
1806,1063,Clement Yu
2845,1063,Weiyi Meng
2845,1063,King-Lup Liu
1412,5381,Sunita Sarawagi
1072,1722,Nicolas Bruno
1074,5197,Amol Deshpande
5530,1076,Kihong Kim
5530,1076,Sang K. Cha
5530,1076,Keunjoo Kwon
1080,2267,Giedrius Slivinskas
2786,2725,Philip Bohannon
1731,1085,Eamonn Keogh
1731,1085,Michael Pazzani
1090,5235,Shivnath Babu
5284,1092,Gautam Das
1468,2901,Prasan Roy
3425,2754,Beng Chin Ooi
2114,1100,Shimin Chen
2114,1100,Todd C. Mowry
5549,4654,Dimitrios Gunopulos
2562,5210,Nick Koudas
1108,1991,Panos Kalnis
4648,1690,Christian B&#246;hm
4970,2884,Bernhard Braunm&#252;ller
1114,3774,Ambuj K. Singh
5063,2765,Jeffrey D. Ullman
5176,1122,Jonathan Goldstein
2712,5364,Kyu-Young Whang
1124,2053,Yang-Sae Moon
2712,1124,Il-Yeol Song
1131,3708,D. B. Phatak
1546,1143,Jan van den Bussche
4231,4335,Xiaolei Qian
4162,1156,Jan Chomicki
1156,5127,David Toman
1156,3141,Michael H. B&#246;hlen
1160,3159,Alan Jay Smith
4826,1164,Robert Ross
1168,4824,Thomas Eiter
1168,3985,James J. Lu
4580,4971,Sushil Jajodia
1177,2436,Fereidoon Sadri
4672,2436,Subbu N. Subramanian
1184,5249,Gustavo Alonso
1184,1972,Catriel Beeri
1433,1191,Feng Tian
3599,3983,David J. DeWitt
1433,1191,Jianjun Chen
3033,3667,Tok Wang Ling
1200,4039,A. P. Buchmann
5138,1212,Eugene Agichtein
1217,5197,Mehul A. Shah
5713,1217,Sirish Chandrasekaran
2602,1220,Marco P&#246;tke
1220,2884,Thomas Seidl
1227,5365,Kaushik Dutta
1227,2102,Helen Thomas
1227,5365,Debra VanderMeer
1536,4443,Kam-Yiu Lam
1536,1231,Edward Chan
1285,1231,Tei-Wei Kuo
5088,2817,Guido Moerkotte
2784,1244,Harald Sch&#246;ning
1248,1417,Songting Chen
1252,5055,Pat Helland
2538,3212,Ming-Chien Shan
2049,1266,Christoph Bussler
3640,1435,John R. Smith
1313,4204,Leonidas Fegaras
1313,5030,David Maier
3867,1277,Azer Bestavros
3269,1279,John A. Stankovic
4249,1287,&#214;zg&#252;r Ulusoy
1290,4862,Kwei-Jay Lin
4155,1293,Bhavani Thuraisingham
3230,1310,Gonzalo Navarro
4995,1316,Jason T. L. Wang
4505,4995,Kaizhong Zhang
5665,1324,Zachary Ives
3512,5665,Jayant Madhavan
5368,1324,Rachel Pottinger
1336,3670,Anand Deshpande
3665,1338,Svein Erik Bratsberg
3876,3665,&#216;ystein Torbj&#248;rnsen
1342,4807,Anil K. Nori
4093,1350,Carlos Ordonez
1353,2555,Anant Jhingran
1355,2195,Andreas Weininger
5691,3700,Munir Cochinwala
3472,1364,Vincent Oria
3472,1364,Shu Lin
3640,1435,Chung-Sheng Li
3640,1435,Yuan-Chi Chang
1435,1372,Vittorio Castelli
2753,1378,Jun Yang
2093,1381,Michael Gillmann
1381,4855,Jeanine Weissenfels
1381,5366,German Shegalov
2093,1381,Wolfgang Wonner
1386,4207,Stephen Kelley
1392,3189,Wynne Hsu
1392,1462,Mong Li Lee
1400,5565,D. Calvanese
1400,5565,M. Lenzerini
1409,3778,Helena Galhardas
1409,3778,Eric Simon
3641,1412,Gayatri Sathe
1414,5545,Jochen van den Bercken
5545,1414,Jens-Peter Dittrich
1417,2525,Yanlei Diao
3552,2273,Hongjun Lu
3552,1417,Zengping Tian
5542,1421,Paolo Merialdo
4778,1421,Paolo Atzeni
5542,1421,Giansalvatore Mecca
2153,1427,Li Chen
1796,1766,Alexandros Labrinidis
1435,5067,Ming-Ling Lo
1956,1686,Markus Schneider
3233,1442,Simonas &#352;altenis
1442,2831,Scott T. Leutenegger
1442,2831,Mario A. Lopez
3771,1446,Bongki Moon
3748,4774,Narayanan Shivakumar
1452,1581,Lucian Popa
4472,1452,Val Tannen
3456,2723,Rakesh Agrawal
1456,2705,Edward L. Wimmers
4553,4522,Tom Barclay
1459,1510,Don Slutz
2400,3042,Masaru Kitsuregawa
5696,3240,Witold Litwin
4517,2205,Hui-I Hsiao
4571,2205,Inderpal Narang
4250,1476,Melliyal Annamalai
3722,1476,Samuel DeFazio
1481,3095,Nagavamsi Ponnekanti
1488,1980,V&#233;ronique Benzaken
1488,3076,Guy Ferran
2187,4660,Jun Rao
1826,5538,Vassilis J. Tsotras
3755,1813,Florian Waas
2641,1507,JungHwan Oh
2189,1510,Alexander S. Szalay
2189,1510,Peter Z. Kunszt
5572,3049,Ramakrishnan Srikant
1859,1543,Wesley W. Chu
2817,1547,Till Westmann
5721,2817,Sven Helmer
5673,3658,Bettina Kemme
1552,2921,Rosa Meo
1554,5549,Themistoklis Palpanas
5001,2722,Elena Baralis
2500,2637,Vanja Josifovski
4434,1716,Krishna Kulkarni
1716,1558,Peter Schwarz
1564,5460,Amihai Motro
1568,3177,Aya Soffer
1924,1572,Terence Critchlow
1656,1578,Guozhu Dong
2564,1578,Ke Wang
1592,2182,Meikel Poess
4960,5002,Peter Buneman
5232,5203,Wenfei Fan
1595,2119,J&#233;r&#244;me Sim&#233;on
1600,3213,Ling Feng
5537,2660,Ahmed K. Elmagarmid
2660,1604,Mohand-Sa&#239;d Hacid
5360,5282,Angela Bonifati
1613,4630,Stella Gatziu
2032,5577,Manfred Jeusfeld
1613,1959,Yannis Vassiliou
1617,4719,Andreas Paepcke
3386,1620,Eric N. Hanson
4866,1623,Peter Thanisch
5059,5285,Leonid Libkin
1637,4434,John F. Roddick
2258,1651,Elaheh Pourabbas
2258,1651,Maurizio Rafanelli
1656,5257,Jianwen Su
3776,2521,Yingwei Cui
1664,5386,Paul Grefen
3887,1671,Kun-Lung Wu
1677,4639,Ron Musick
1681,5577,Panos Vassiliadis
2251,5741,Michalis Vazirgiannis
2251,5532,Maria Halkidi
2251,1695,Yannis Batistakis
2021,2661,Marianne Winslett
2009,2667,Ken Ross
3689,2861,Theodore Johnson
1728,1730,Won Kim
5018,3755,Paolo Ciaccia
1732,2733,Marco Patella
3786,1735,Wolfgang May
2081,5543,Yufei Tao
1737,5266,Jun Zhang
5601,1741,Yong Yao
5347,4776,Joachim Hammer
5665,1746,Yana Kadiyska
1746,1995,Wang-Chiew Tan
3352,2444,Luc Bouganim
3291,2452,Esther Pacitti
3352,4870,Patrick Valduriez
1761,2900,Nam Huyn
3719,1767,Alberto O. Mendelzon
4580,1770,Daniel Barbar&#225;
1785,1773,Wenke Lee
1785,5329,Wei Fan
1957,4014,Chris Clifton
2976,1810,Peter Fankhauser
2074,1813,Martin Kersten
1817,5039,Eugene Shekita
5193,3561,Jerry Kiernan
1826,5538,Carlo Zaniolo
5099,1831,Peter J. Stuckey
1847,1831,James Harland
2945,3050,Gio Wiederhold
1842,3679,Werner Kie&#223;ling
2913,1857,Peter Baumann
1971,1878,Stanley Y. W. Su
4906,3212,Dimitrios Georgakopoulos
3841,4906,Marek Rusinkiewicz
1888,3116,Krys Kochut
2138,5259,Samuel Madden
1897,5010,Robert Meersman
1909,4559,Tomasz Imieli&#324;ski
4522,1911,Chris Nyberg
4522,1911,Zarka Cvetanovic
4522,1911,Dave Lomet
4010,1915,Seth J. White
1917,4518,Arun Swami
2345,1917,K. Bernhard Schiefer
5540,1924,Renato Fileto
1929,2637,Carole Goble
5516,1933,Anupam Joshi
1936,4380,Munindar P. Singh
1941,5623,Philippe Cudr&#233;-Mauroux
1941,5623,Manfred Hauswirth
1944,2722,Ernest Teniente
1947,5068,Michael Doherty
1961,3981,Asit Dan
1977,2972,Ronald Morrison
2089,1988,Stratis D. Viglas
2181,5766,Jeffrey F. Naughton
5166,1991,Wee Siong Ng
3568,1993,Mirek Riedewald
1995,5087,Keishi Tajima
3283,1997,Vladimir Zadorozhny
4960,4876,Louiqa Raschid
3488,4650,Tolga Urhan
2552,5329,Haixun Wang
2964,2050,Jiong Yang
2072,4657,Sudipto Guha
2562,2451,Piotr Indyk
5346,2067,Antonios Deligiannakis
2074,2468,Arjen P. de Vries
5344,5370,Kevin Chen-Chuan Chang
2082,4580,X. Sean Wang
5080,2090,Bala Iyer
5213,2094,Tamraparni Dasu
2094,5119,Vladislav Shkapenyuk
2106,5331,Jun-Ki Min
3705,2108,Raghav Kaushik
2112,5176,Jingren Zhou
2116,5245,Dengfeng Gao
2131,5542,Valter Crescenzi
2133,5119,Chuck Cranor
2142,5183,Yuqing Wu
5715,2155,Daniel J. Abadi
5089,3463,Mitch Cherniack
5177,2164,Mukesh Mulchandani
5177,2164,Brian Murphy
2168,5197,Sailesh Krishnamurthy
2168,2181,Honguk Woo
3692,2172,Volker Markl
2187,4989,Nimrod Megiddo
5245,2199,Eileen Lin
2218,5238,Ashish Kumar Gupta
4756,2220,Jignesh Patel
2233,4473,Niki Pissinou
2968,2233,Peter Scheuermann
5570,2246,Fernando Berzal
2259,5580,Nancy Wiegand
4871,2261,Harald Kosch
2272,2284,Philippe Bonnet
2472,2285,Edwin M. Knorr
5085,2823,Stephen Blott
4264,2291,Alan Downing
5312,3473,Andrew Witkowski
2291,3227,Mohamed Ziauddin
2305,2829,Torsten Suel
2312,3292,Gholamhosein Sheikholeslami
2312,3292,Surojit Chatterjee
2312,4572,Aidong Zhang
2905,2316,Jens Clau&#223;en
4050,2324,Garth A. Gibson
3737,2331,Helen M. Thomas
3033,3667,Sin Yeung Lee
2337,3814,Doron Rotem
2341,4158,Johann Christoph Freytag
2345,5116,Qi Cheng
2345,5099,T. Y. Cliff Leung
2345,5116,Linqi Liu
2360,2779,Kaladhar Voruganti
2360,2779,Ronald C. Unrau
3431,2363,Peter A. Boncz
3707,2363,Stefan Manegold
5633,3431,Martin L. Kersten
2696,2369,Mary Tork Roth
2371,5669,Alon Y. Levy
3371,2371,Khaled Yagoub
2374,2527,Michael L. Brodie
2376,2570,Torben Bach Pedersen
2698,2379,Vincent Aguilera
2497,2379,Bernd Amann
2379,3547,Am&#233;lie Marian
2497,2379,Laurent Mignet
4144,4337,Weidong Chen
2462,2391,You-Chin Fuh
2917,2735,Nelson Mendon&#231;a Mattos
2462,2391,Brian T. Tran
3908,2391,Yun Wang
2402,3575,Umeshwar Dayal
4794,3435,Olga Kapitskaia
4756,2407,Kristin Tufte
2410,3564,Christian Wiesner
4250,4139,Evaggelia Pitoura
4043,3236,Panos K. Chrysanthis
2776,2419,Roger Bamford
2425,2754,Cheng Hian Goh
2913,2430,Paula Furtado
2913,2430,Roland Ritsch
2913,2430,Norbert Widmann
3481,5228,Ravi Kumar
3297,2437,Prabhakar Raghavan
3481,2437,Andrew Tomkins
2441,5049,Edward Omiecinski
2976,2444,Georges Gardarin
2444,3084,Fei Sha
3582,2454,Srinivasa Narayanan
5030,2454,Bennet Vance
2462,2454,Serge Rielau
3373,2462,Stefan De&#223;loch
3946,2468,Henk M. Blanken
2468,3464,Peter M. G. Apers
2474,2860,Byron Dom
3473,2757,William O'Connell
2482,4866,Thomas Zurek
2657,5607,Anastassia Ailamaki
2657,2489,Mark D. Hill
3401,3373,Theo H&#228;rder
2500,3149,Tore Risch
3202,3750,Yasushi Sakurai
3202,3750,Masatoshi Yoshikawa
3202,3750,Shunsuke Uemura
3202,2503,Haruhiko Kojima
2515,3493,Cyrus Shahabi
2521,2753,Wilburt Labio
2528,4093,Naphtali Rishe
2528,4093,Artyom Shaposhnikov
2544,3522,Jo&#227;o Pereira
5049,2555,Shamkant B. Navathe
3153,3050,Erich J. Neuhold
2903,2559,Vivek R. Narasayya
3561,5082,Eugene J. Shekita
5371,2567,Rimon Barr
2571,3567,Thomas St&#246;hr
2571,5388,Erhard Rahm
4689,3606,Shalom Tsur
2585,3223,Dimitris Plexousakis
2728,2588,Stavros Christodoulakis
3520,5412,Georg Gottlob
5412,2615,Christoph Koch
5412,2615,Reinhard Pichler
4360,2979,Qing Li
5056,2627,Antonio Badia
2640,2637,Omar Boucelma
2641,3827,Sharma Chakravarthy
2641,4434,Ramez Elmasri
5526,2646,Ning An
5526,2646,Sudhanva Gurumurthi
5526,2646,Anand Sivasubramaniam
5526,2646,Narayanan Vijaykrishnan
5526,2646,Mary Jane Irwin
5386,2653,Peter Apers
3585,2655,Rada Chirkova
3586,2675,Rune Humborstad
3665,2675,Svein-Olaf Hvasshovd
2928,2687,Damianos Chatziantoniou
3497,2698,Pierangelo Veltri
3497,2698,Dan Vodislav
3777,2701,Ela Hunt
3777,3436,Malcolm P. Atkinson
3777,2701,Robert W. Irving
5256,2786,P. P. S. Narayan
3046,2719,Markus Tresch
3267,2723,John C. Shafer
2728,3004,Peter Triantafillou
2731,2853,Weiye Zhang
3178,2733,Pavel Zezula
2736,2844,William Bridge
2736,2844,Juan Loaiza
2736,5518,N. MacNaughton
3912,3147,Miron Livny
4802,2749,Fr&#233;d&#233;ric Gingras
2761,3293,Peter Muth
2761,3293,Achim Pick
4697,2765,Craig Silverstein
3977,2765,Sergey Brin
2768,3267,Shivakumar Venkataraman
2768,5045,Tian Zhang
2776,3088,Boris Klots
3906,2782,Jack A. Orenstein
2786,2813,Jerry Baulier
5089,3462,Stanley B. Zdonik
2802,2926,Michael Rys
2818,2821,Fernando de Ferreira Rezende
3401,2821,G&#252;nter Sauter
3517,2823,Roger Weber
2825,3599,Banu &#214;zden
2827,4748,Binto George
3125,4755,Kenneth C. Sevcik
4675,4677,Amit Shukla
2833,3100,Prasad Deshpande
3143,2839,Jim Kleewein
3596,2839,Guy M. Lohman
2845,3854,Clement T. Yu
2849,5044,Chendong Zou
2849,3148,Betty Salzberg
5065,2858,Sumit Ganguly
2866,4642,Claude Delobel
2872,3297,David Gibson
3097,2892,Nikolaos Sidiropoulos
2897,3599,Wee Teck Ng
2897,3199,Peter M. Chen
2905,3932,Klaus Peithner
3904,4005,Ashish Gupta
2921,3885,Giuseppe Psaila
4485,4062,Moira C. Norrie
2930,5739,Susan Malaika
4146,5650,Norman W. Paton
2960,4180,Ambuj Shatdal
3979,2964,Richard R. Muntz
2968,4525,Radek Vingralek
2994,2981,Timos K. Sellis
5633,2986,Arjan Pellenkoft
5633,2986,C&#233;sar A. Galindo-Legaria
4930,2995,Arne Koschel
4930,2995,Ralf Kramer
3193,3002,Achim Kraiss
3010,3927,Andr&#233; Eickler
5296,3012,Hannu Toivonen
3016,5131,Sriram Padmanabhan
4810,4698,R. Ramakrishnan
3042,5054,Kazuhiko Mogi
3050,5628,Leonard J. Seligman
3185,3062,Georgios Evangelidis
3064,4465,Angelika Kotz Dittrich
5021,3277,Shahram Ghandeharizadeh
3073,4637,Peter Dadam
5720,3076,Fabrizio Ferrandina
5720,3076,Thorsten Meyer
5720,3076,Roberto Zicari
3089,3084,Zhao-Hui Tang
3089,3283,Jean-Robert Gruser
5008,5107,Inderpal Singh Mumick
3705,4756,Karthikeyan Ramasamy
3921,3158,Manish Mehta
3104,3116,Amit P. Sheth
3106,4842,Mark Sullivan
4802,3108,Iyer N. Subramanian
3112,4951,Ramesh Bhashyam
3475,3135,William J. McKenna
4434,3141,Michael D. Soo
3145,3932,Michael Steinbrunn
3165,3151,B. J. Kr&#228;mer
3155,4462,Oscar D&#237;az
3155,4462,Arturo Jaime
3945,4011,Ming-Syan Chen
3186,3227,Gennady Antoshenkov
3200,5498,Gisli R. Hjaltason
5337,3213,Jeffrey Xu Yu
3628,3215,Alexandros Nanopoulos
3217,4047,Vipul Kashyap
4969,3231,Davood Rafiei
3237,4799,Arthur M. Keller
3237,3671,Julie Basu
3240,3857,Avi Pfeffer
3240,4914,Jeff Sidell
3252,3949,Yuh-Ming Shyy
5347,3252,Stanley Y.W. Su
5347,3252,Herman Lam
3257,5708,Odysseas G. Tsatalos
3257,5090,Marvin H. Solomon
5672,3260,Alexandra Poulovassilis
5672,3260,Carol Small
3273,5740,Eric Amiel
3273,5740,Marie-Jo Bellosta
3273,5740,Eric Dujardin
3307,5355,R. Braumandl
3433,3307,J. Claussen
4288,3433,A. Kemper
3433,3307,D. Kossmann
