Id,dataset,title,venue,year
201,ACM,Merge replication in Microsoft's SQL server 7.0,International Conference on Management of Data,1999
203,ACM,In-memory data management for consumer transactions the timesten approach,International Conference on Management of Data,1999
205,ACM,EMC information sharing: direct access to MVS data from UNIX and NT,International Conference on Management of Data,1999
207,ACM,Daytona and the foruth-generation language cymbal,International Conference on Management of Data,1999
209,ACM,DataBlitz storage manager: main-memory database performance for critical applications,International Conference on Management of Data,1999
215,ACM,Indexing medium-dimensionality data in Oracle,International Conference on Management of Data,1999
220,ACM,Storing semistructured data with STORED,International Conference on Management of Data,1999
223,ACM,Efficient geometry-based similarity search of 3D spatial databases,International Conference on Management of Data,1999
224,ACM,A new method for similarity indexing of market basket data,International Conference on Management of Data,1999
228,ACM,WALRUS: a similarity retrieval algorithm for image databases,International Conference on Management of Data,1999
232,ACM,Shrinking the warehouse update Window,International Conference on Management of Data,1999
236,ACM,DynaMat: a dynamic view management system for data warehouses,International Conference on Management of Data,1999
237,ACM,Bottom-up computation of sparse and Iceberg CUBE,International Conference on Management of Data,1999
240,ACM,Client-site query extensions,International Conference on Management of Data,1999
241,ACM,Data management issues in electronic commerce,International Conference on Management of Data,1999
243,ACM,Of crawlers  portals  mice  and men: is there more to mining the Web?,International Conference on Management of Data,1999
245,ACM,Honey  I shrunk the database: footprint  mobility  and beyond,International Conference on Management of Data,1999
246,ACM,A layered architecture for querying dynamic Web content,International Conference on Management of Data,1999
251,ACM,Automatic discovery of language models for text databases,International Conference on Management of Data,1999
255,ACM,Record-boundary discovery in Web documents,International Conference on Management of Data,1999
259,ACM,Query rewriting for semistructured data,International Conference on Management of Data,1999
261,ACM,Computing capabilities of mediators,International Conference on Management of Data,1999
264,ACM,High speed on-line backup when using logical log operations,International Conference on Management of Data,2000
265,ACM,Efficient resumption of interrupted warehouse loads,International Conference on Management of Data,2000
268,ACM,On-line reorganization in object databases,International Conference on Management of Data,2000
272,ACM,Finding generalized projected clusters in high dimensional spaces,International Conference on Management of Data,2000
273,ACM,Density biased sampling: an improved method for data mining and clustering,International Conference on Management of Data,2000
276,ACM,LOF: identifying density-based local outliers,International Conference on Management of Data,2000
281,ACM,Answering complex SQL queries using automatic summary tables,International Conference on Management of Data,2000
287,ACM,Synchronizing a database to improve freshness,International Conference on Management of Data,2000
289,ACM,How to roll a join: asynchronous incremental view maintenance,International Conference on Management of Data,2000
292,ACM,On wrapping query languages and efficient XML integration,International Conference on Management of Data,2000
296,ACM,XMill: an efficient compressor for XML data,International Conference on Management of Data,2000
298,ACM,XTRACT: a system for extracting document type descriptors from XML documents,International Conference on Management of Data,2000
301,ACM,Spatial join selectivity using power laws,International Conference on Management of Data,2000
306,ACM,MOCHA: a self-extensible database middleware system for distributed data sources,International Conference on Management of Data,2000
308,ACM,Closest pair queries in spatial databases,International Conference on Management of Data,2000
313,ACM,Influence sets based on reverse nearest neighbor queries,International Conference on Management of Data,2000
316,ACM,Security of random data perturbation methods,ACM Transactions on Database Systems (TODS),1999
319,ACM,Improving database design through the analysis of relationships,ACM Transactions on Database Systems (TODS),1999
323,ACM,The SIFT information dissemination system,ACM Transactions on Database Systems (TODS),1999
325,ACM,An ontological analysis of the relationship construct in conceptual modeling,ACM Transactions on Database Systems (TODS),1999
328,ACM,Chorochronos: a research network for spatiotemporal database systems,ACM SIGMOD Record,1999
342,ACM,Engineering federated information systems: report of EEFIS '99 workshop,ACM SIGMOD Record,1999
350,ACM,First-class views: a key to user-centered computing,ACM SIGMOD Record,1999
353,ACM,Cost estimation of user-defined methods in object-relational database systems,ACM SIGMOD Record,1999
356,ACM,Distributed transactions in practice,ACM SIGMOD Record,1999
357,ACM,On mutli-resolution document transmission in mobile Web,ACM SIGMOD Record,1999
362,ACM,An overview and classification of mediated query systems,ACM SIGMOD Record,1999
365,ACM,A distributed scientific data archive using the Web  XML and SQL/MED,ACM SIGMOD Record,1999
370,ACM,Mining frequent patterns without candidate generation,International Conference on Management of Data,2000
373,ACM,Database research at the University of Oklahoma,ACM SIGMOD Record,1999
381,ACM,Turbo-charging vertical mining of large databases,International Conference on Management of Data,2000
388,ACM,Data mining on an OLTP system (nearly) for free,International Conference on Management of Data,2000
392,ACM,A study on data point search for HG-trees,ACM SIGMOD Record,1999
395,ACM,The OASIS multidatabase prototype,ACM SIGMOD Record,1999
399,ACM,Efficient materialization and use of views in data warehouses,ACM SIGMOD Record,1999
402,ACM,Design principles for data-intensive Web sites,ACM SIGMOD Record,1999
406,ACM,SQL: 1999  formerly known as SQL3,ACM SIGMOD Record,1999
409,ACM,Broadcast protocols to support efficient retrieval from databases by mobile users,ACM Transactions on Database Systems (TODS),1999
414,ACM,Video anywhere: a system for searching and managing distributed heterogeneous video assets,ACM SIGMOD Record,1999
418,ACM,NSF workshop on industrial/academic cooperation in database systems,ACM SIGMOD Record,1999
421,ACM,Optimization of queries with user-defined predicates,ACM Transactions on Database Systems (TODS),1999
423,ACM,GlOSS: text-source discovery over the Internet,ACM Transactions on Database Systems (TODS),1999
427,ACM,Database design for incomplete relations,ACM Transactions on Database Systems (TODS),1999
430,ACM,Temporal FDs on complex objects,ACM Transactions on Database Systems (TODS),1999
432,ACM,Indexing large metric spaces for similarity search queries,ACM Transactions on Database Systems (TODS),1999
435,ACM,Specification and implementation of exceptions in workflow management systems,ACM Transactions on Database Systems (TODS),1999
438,ACM,Distance browsing in spatial databases,ACM Transactions on Database Systems (TODS),1999
441,ACM,Type-checking OQL queries in the ODMG type systems,ACM Transactions on Database Systems (TODS),1999
443,ACM,The middleware muddle,ACM SIGMOD Record,1998
445,ACM,The Asilomar report on database research,ACM SIGMOD Record,1998
459,ACM,Electronic market: the roadmap for university libraries and members to survive in the information jungle,ACM SIGMOD Record,1998
464,ACM,An anonymous electronic commerce scheme with an off-line authority and untrusted agents,ACM SIGMOD Record,1998
467,ACM,Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,ACM SIGMOD Record,1999
477,ACM,Semantic integration of environmental models for application to global information systems and decision-making,ACM SIGMOD Record,1999
479,ACM,Semantic interoperability in global information systems,ACM SIGMOD Record,1999
482,ACM,SQLJ Part 0  now known as SQL/OLB (Object-Language Bindings),ACM SIGMOD Record,1998
483,ACM,Dynamic service matchmaking among agents in open information environments,ACM SIGMOD Record,1999
488,ACM,Contextualizing the information space in federated digital libraries,ACM SIGMOD Record,1999
491,ACM,Semantic video indexing: approach and issues,ACM SIGMOD Record,1999
493,ACM,Unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,ACM SIGMOD Record,1999
496,ACM,Report on the 13th Brazilian symposium on database systems (SBBD'98),ACM SIGMOD Record,1999
499,ACM,Semantic interoperability in information services: experiencing with CoopWARE,ACM SIGMOD Record,1999
501,ACM,Agent-based semantic interoperability in infosleuth,ACM SIGMOD Record,1999
506,ACM,Semantic integration of semistructured and structured data sources,ACM SIGMOD Record,1999
510,ACM,Keynote Address,International Conference on Management of Data,1995
512,ACM,Keynote address,International Conference on Management of Data,1995
514,ACM,Object normal forms and dependency constraints for object-oriented schemata,ACM Transactions on Database Systems (TODS),1997
518,ACM,Database design with common sense business reasoning and learning,ACM Transactions on Database Systems (TODS),1997
522,ACM,Inverted files versus signature files for text indexing,ACM Transactions on Database Systems (TODS),1998
526,ACM,Ensuring consistency in multidatabases by preserving two-level serializability,ACM Transactions on Database Systems (TODS),1998
530,ACM,Towards a theory of cost management for digital libraries and electronic commerce,ACM Transactions on Database Systems (TODS),1998
534,ACM,Information gathering in the World-Wide Web: the W3QL query language and the W3QS system,ACM Transactions on Database Systems (TODS),1998
537,ACM,A protein patent query system powered by Kleisli,International Conference on Management of Data,1998
541,ACM,DTL's DataSpot: database exploration as easy as browsing the Web...,International Conference on Management of Data,1998
546,ACM,Multiview access protocols for large-scale replication,ACM Transactions on Database Systems (TODS),1998
550,ACM,Optimization techniques for queries with expensive methods,ACM Transactions on Database Systems (TODS),1998
552,ACM,MultiMediaMiner: a system prototype for multimedia data mining,International Conference on Management of Data,1998
557,ACM,Xmas: an extensible main-memory storage system for high-performance applications,International Conference on Management of Data,1998
564,ACM,The IDEA Web lab,International Conference on Management of Data,1998
565,ACM,SuperSQL: an extended SQL for database publishing and presentation,International Conference on Management of Data,1998
567,ACM,CONTROL: continuous output and navigation technology with refinement on-line,International Conference on Management of Data,1998
575,ACM,AMDB: an access method debugging tool,International Conference on Management of Data,1998
578,ACM,User-oriented smart-cache for the Web: what you seek is what you get!,International Conference on Management of Data,1998
582,ACM,The multidimensional database system RasDaMan,International Conference on Management of Data,1998
588,ACM,FlowBack: providing backward recovery for workflow management systems,International Conference on Management of Data,1998
592,ACM,Providing database-like access to the Web using queries based on textual similarity,International Conference on Management of Data,1998
594,ACM,Ariadne: a system for constructing mediators for Internet sources,International Conference on Management of Data,1998
604,ACM,Capability based mediation in TSIMMIS,International Conference on Management of Data,1998
606,ACM,The Araneus Web-based management system,International Conference on Management of Data,1998
612,ACM,CQ: a personalized update monitoring toolkit,International Conference on Management of Data,1998
616,ACM,DataSplash,International Conference on Management of Data,1998
624,ACM,Microsoft index turning wizard for SQL Server 7.0,International Conference on Management of Data,1998
626,ACM,Olympic records for data at the 1998 Nagano games,International Conference on Management of Data,1998
628,ACM,Delivering high availability for Inktomi search engines,International Conference on Management of Data,1998
630,ACM,Microsoft.com: a high-scale data management and transaction processing solution,International Conference on Management of Data,1998
632,ACM,Free parallel data mining,International Conference on Management of Data,1998
635,ACM,Real business processing meets the Web,International Conference on Management of Data,1998
637,ACM,Developing a high traffic  read-only Web site,International Conference on Management of Data,1998
640,ACM,FileNet integrated document management database usage and issues,International Conference on Management of Data,1998
642,ACM,About Quark Digital Media System,International Conference on Management of Data,1998
644,ACM,50 000 users on an Oracle8 universal server database,International Conference on Management of Data,1998
649,ACM,Oracle Rdb's record caching model,International Conference on Management of Data,1998
653,ACM,A data mining application: customer retention at the Port of Singapore Authority (PSA),International Conference on Management of Data,1998
657,ACM,Transactional publish/subscribe: the proactive multicast of database changes (abstract),International Conference on Management of Data,1998
659,ACM,The PointCast network (abstract),International Conference on Management of Data,1998
662,ACM,Data in your face: push technology in perspective,International Conference on Management of Data,1998
663,ACM,Ubiquitous  self-tuning  scalable servers,International Conference on Management of Data,1998
665,ACM,Database systems management and Oracle8,International Conference on Management of Data,1998
667,ACM,Managing large systems with DB2 UDB,International Conference on Management of Data,1998
669,ACM,SQL open heterogeneous data access,International Conference on Management of Data,1998
671,ACM,Enterprise Java platform data access,International Conference on Management of Data,1998
675,ACM,Microsoft universal data access platform,International Conference on Management of Data,1998
678,ACM,Java and relational databases (tutorial): SQLJ,International Conference on Management of Data,1998
685,ACM,High-dimensional index structures database support for next decade's applications (tutorial),International Conference on Management of Data,1998
687,ACM,Electronic commerce: tutorial,International Conference on Management of Data,1998
689,ACM,SAP R/3 (tutorial): a database application system,International Conference on Management of Data,1998
691,ACM,Are we working on the right problems? (panel),International Conference on Management of Data,1998
692,ACM,Next generation database systems won't work without semantics! (panel),International Conference on Management of Data,1998
694,ACM,Memory management during run generation in external sorting,International Conference on Management of Data,1998
697,ACM,Replication  consistency  and practicality: are these mutually exclusive?,International Conference on Management of Data,1998
701,ACM,Wavelet-based histograms for selectivity estimation,International Conference on Management of Data,1998
705,ACM,Efficient transparent application recovery in client-server information systems,International Conference on Management of Data,1998
708,ACM,Approximate medians and other quantiles in one pass and with limited memory,International Conference on Management of Data,1998
712,ACM,Random sampling for histogram construction: how much is enough?,International Conference on Management of Data,1998
714,ACM,A multi-similarity algebra,International Conference on Management of Data,1998
719,ACM,Catching the boat with Strudel: experiences with a Web-site management system,International Conference on Management of Data,1998
724,ACM,On parallel processing of aggregate and scalar functions in object-relational DBMS,International Conference on Management of Data,1998
727,ACM,Secure and portable database extensibility,International Conference on Management of Data,1998
730,ACM,On random sampling over joins,International Conference on Management of Data,1999
731,ACM,Random sampling techniques for space efficient online computation of order statistics of large datasets,International Conference on Management of Data,1999
732,ACM,Ripple joins for online aggregation,International Conference on Management of Data,1999
734,ACM,Join synopses for approximate query answering,International Conference on Management of Data,1999
735,ACM,Query optimization in the presence of limited access patterns,International Conference on Management of Data,1999
737,ACM,An adaptive query execution system for data integration,International Conference on Management of Data,1999
741,ACM,Mind your vocabulary: query mapping across heterogeneous information sources,International Conference on Management of Data,1999
743,ACM,Query processing techniques for arrays,International Conference on Management of Data,1999
745,ACM,BOAT-optimistic decision tree construction,International Conference on Management of Data,1999
749,ACM,Optimization of constrained frequent set queries with 2-variable constraints,International Conference on Management of Data,1999
751,ACM,Approximate computation of multidimensional aggregates of sparse data using wavelets,International Conference on Management of Data,1999
752,ACM,Self-tuning histograms: building histograms without looking at data,International Conference on Management of Data,1999
754,ACM,An efficient bitmap encoding scheme for selection queries,International Conference on Management of Data,1999
757,ACM,Multi-dimensional selectivity estimation using compressed histogram information,International Conference on Management of Data,1999
761,ACM,A comparison of selectivity estimators for range queries on metric attributes,International Conference on Management of Data,1999
764,ACM,Query optimization for selections using bitmaps,International Conference on Management of Data,1999
766,ACM,Fast algorithms for projected clustering,International Conference on Management of Data,1999
769,ACM,Logical logging to extend recovery to new domains,International Conference on Management of Data,1999
771,ACM,Efficient concurrency control for broadcast environments,International Conference on Management of Data,1999
776,ACM,Update propagation protocols for replicated databates,International Conference on Management of Data,1999
779,ACM,Belief reasoning in MLS deductive databases,International Conference on Management of Data,1999
781,ACM,A multimedia presentation algebra,International Conference on Management of Data,1999
782,ACM,Querying network directories,International Conference on Management of Data,1999
786,ACM,Online association rule mining,International Conference on Management of Data,1999
788,ACM,Conceptual schema analysis: techniques and applications,ACM Transactions on Database Systems (TODS),1998
792,ACM,An access control model supporting periodicity constraints and temporal reasoning,ACM Transactions on Database Systems (TODS),1998
797,ACM,An efficient method for checking object-oriented database schema correctness,ACM Transactions on Database Systems (TODS),1998
801,ACM,Integration of spatial join algorithms for processing multiple inputs,International Conference on Management of Data,1999
804,ACM,Selectivity estimation in spatial databases,International Conference on Management of Data,1999
805,ACM,Efficient concurrency control in multidimensional access methods,International Conference on Management of Data,1999
807,ACM,Snakes and sandwiches: optimal clustering strategies for a data warehouse,International Conference on Management of Data,1999
808,ACM,OPTICS: ordering points to identify the clustering structure,International Conference on Management of Data,1999
810,ACM,A case for intelligent disks (IDISKs),ACM SIGMOD Record,1998
813,ACM,The TriGS active object-oriented database system- an overview,ACM SIGMOD Record,1998
816,ACM,Reminiscences on influential papers,ACM SIGMOD Record,1998
818,ACM,B-tree page size when caching is considered,ACM SIGMOD Record,1998
819,ACM,The Microsoft database research group,ACM SIGMOD Record,1998
821,ACM,Database research at Columbia University,ACM SIGMOD Record,1998
826,ACM,Database techniques for the World-Wide Web: a survey,ACM SIGMOD Record,1998
828,ACM,Standards in practice,ACM SIGMOD Record,1998
829,ACM,Safe query languages for constraint databases,ACM Transactions on Database Systems (TODS),1998
831,ACM,Supporting valid-time indeterminacy,ACM Transactions on Database Systems (TODS),1998
834,ACM,The Garlic project,International Conference on Management of Data,1996
843,ACM,BeSS: storage support for interactive visualization systems,International Conference on Management of Data,1996
848,ACM,Algebraic change propagation for semijoin and outerjoin queries,ACM SIGMOD Record,1998
851,ACM,Enhanced nearest neighbour search on the R-tree,ACM SIGMOD Record,1998
854,ACM,Report on the 5th international workshop on knowledge representation meets databases (KRDB'98),ACM SIGMOD Record,1998
858,ACM,Safe stratified Datalog with integer order does not have syntax,ACM Transactions on Database Systems (TODS),1998
861,ACM,DBMiner: interactive mining of multiple-level knowledge in relational databases,International Conference on Management of Data,1996
867,ACM,prospector: a content-based multimedia server for massively parallel architectures,International Conference on Management of Data,1996
873,ACM,DBSim: a simulation tool for predicting database performance,International Conference on Management of Data,1996
877,ACM,LORE: a Lightweight Object REpository for semistructured data,International Conference on Management of Data,1996
888,ACM,CapBasED-AMS: a capability-based and event-driven activity management system,International Conference on Management of Data,1996
892,ACM,The MultiView project: object-oriented view technology and applications,International Conference on Management of Data,1996
898,ACM,METU interoperable database system,International Conference on Management of Data,1996
908,ACM,SONAR: system for optimized numeric association rules,International Conference on Management of Data,1996
913,ACM,Repository system engineering,International Conference on Management of Data,1996
915,ACM,databases and visualization,International Conference on Management of Data,1996
916,ACM,Adaptive  fine-grained sharing in a client-server OODBMS: a callback-based approach,ACM Transactions on Database Systems (TODS),1997
919,ACM,The ins and outs (and everything in between) of data warehousing,International Conference on Management of Data,1996
922,ACM,Thinksheet: a tool for tailoring complex documents,International Conference on Management of Data,1996
926,ACM,HyperStorM-administering structured documents using object-oriented database technology,International Conference on Management of Data,1996
929,ACM,State of the art in workflow management research and products,International Conference on Management of Data,1996
930,ACM,Data mining techniques,International Conference on Management of Data,1996
931,ACM,Minimization of tree pattern queries,International Conference on Management of Data,2001
934,ACM,Data-driven understanding and refinement of schema mappings,International Conference on Management of Data,2001
939,ACM,Communication-efficient distributed mining of association rules,International Conference on Management of Data,2001
942,ACM,Selectivity estimation using probabilistic models,International Conference on Management of Data,2001
946,ACM,Applying the golden rule of sampling for query estimation,International Conference on Management of Data,2001
948,ACM,Monitoring XML data on the Web,International Conference on Management of Data,2001
952,ACM,On supporting containment queries in relational database management systems,International Conference on Management of Data,2001
957,ACM,Updating XML,International Conference on Management of Data,2001
960,ACM,The nimble integration engine,International Conference on Management of Data,2001
962,ACM,Experiences in mining aviation safety data,International Conference on Management of Data,2001
966,ACM,Catalog management in websphere commerce suite,International Conference on Management of Data,2001
968,ACM,Content integration for e-business,International Conference on Management of Data,2001
969,ACM,The network is the database: data management for highly distributed systems,International Conference on Management of Data,2001
972,ACM,Enabling dynamic content caching for database-driven web sites,International Conference on Management of Data,2001
975,ACM,StorHouse metanoia - new applications for database  storage &; data warehousing,International Conference on Management of Data,2001
980,ACM,Reconciling schemas of disparate data sources: a machine-learning approach,International Conference on Management of Data,2001
983,ACM,REVIEW: a real-time virtual walkthrough system,International Conference on Management of Data,2001
989,ACM,Kweelt: more than just yet another framework to query XML!,International Conference on Management of Data,2001
990,ACM,Dissemination of dynamic data,International Conference on Management of Data,2001
995,ACM,COSIMA- your smart  speaking E-salesperson,International Conference on Management of Data,2001
1000,ACM,Exploiting constraint-like data characterizations in query optimization,International Conference on Management of Data,2001
1004,ACM,Fast-Start: quick fault recovery in oracle,International Conference on Management of Data,2001
1007,ACM,Data management: lasting impact on wild  wild  web,International Conference on Management of Data,2001
1009,ACM,Orthogonal optimization of subqueries and aggregation,International Conference on Management of Data,2001
1012,ACM,Materialized view and index selection tool for Microsoft SQL server 2000,International Conference on Management of Data,2001
1014,ACM,The prototype of the DARE system,International Conference on Management of Data,2001
1017,ACM,Sangam - a solution to support multiple data models  their mappings and maintenance,International Conference on Management of Data,2001
1025,ACM,Clio: a semi-automatic tool for schema mapping,International Conference on Management of Data,2001
1027,ACM,OminiSearch: a method for searching dynamic content on the Web,International Conference on Management of Data,2001
1029,ACM,Securing XML documents: the author-X project demonstration,International Conference on Management of Data,2001
1031,ACM,Monitoring business processes through event correlation based on dependency model,International Conference on Management of Data,2001
1036,ACM,VQBD: exploring semistructured data,International Conference on Management of Data,2001
1039,ACM,Mining needle in a haystack: classifying rare classes via two-phase rule induction,International Conference on Management of Data,2001
1043,ACM,Data bubbles: quality preserving performance boosting for hierarchical clustering,International Conference on Management of Data,2001
1045,ACM,Filtering algorithms and implementation for very fast publish/subscribe systems,International Conference on Management of Data,2001
1050,ACM,Efficient evaluation of XML middle-ware queries,International Conference on Management of Data,2001
1052,ACM,Bit-sliced index arithmetic,International Conference on Management of Data,2001
1056,ACM,Outlier detection for high dimensional data,International Conference on Management of Data,2001
1057,ACM,Probe  count  and classify: categorizing hidden web databases,International Conference on Management of Data,2001
1060,ACM,Space-efficient online computation of quantile summaries,International Conference on Management of Data,2001
1063,ACM,Efficient and effective metasearch for text databases incorporating linkages among documents,International Conference on Management of Data,2001
1068,ACM,Automatic segmentation of text into structured records,International Conference on Management of Data,2001
1072,ACM,STHoles: a multidimensional workload-aware histogram,International Conference on Management of Data,2001
1074,ACM,Independence is good: dependency-based histogram synopses for high-dimensional data,International Conference on Management of Data,2001
1076,ACM,Optimizing multidimensional index trees for main memory access,International Conference on Management of Data,2001
1080,ACM,Adaptable query optimization and evaluation in temporal middleware,International Conference on Management of Data,2001
1082,ACM,Main-memory index structures with fixed-size partial keys,International Conference on Management of Data,2001
1085,ACM,Locally adaptive dimensionality reduction for indexing large time series databases,International Conference on Management of Data,2001
1088,ACM,Query optimization in compressed database systems,International Conference on Management of Data,2001
1090,ACM,SPARTAN: a model-based semantic compression system for massive data tables,International Conference on Management of Data,2001
1092,ACM,A robust  optimization-based approach for approximate answering of aggregate queries,International Conference on Management of Data,2001
1094,ACM,Materialized view selection and maintenance using multi-query optimization,International Conference on Management of Data,2001
1097,ACM,Global optimization of histograms,International Conference on Management of Data,2001
1100,ACM,Improving index performance through prefetching,International Conference on Management of Data,2001
1103,ACM,Efficient and tumble similar set retrieval,International Conference on Management of Data,2001
1106,ACM,PREFER: a system for the efficient execution of multi-parametric ranked queries,International Conference on Management of Data,2001
1108,ACM,Proxy-server architectures for OLAP,International Conference on Management of Data,2001
1110,ACM,Epsilon grid order: an algorithm for the similarity join on massive high-dimensional data,International Conference on Management of Data,2001
1114,ACM,Modeling high-dimensional index structures using sampling,International Conference on Management of Data,2001
1117,ACM,Progressive approximate aggregate queries with a multi-resolution tree structure,International Conference on Management of Data,2001
1119,ACM,Generating efficient plans for queries using views,International Conference on Management of Data,2001
1122,ACM,Optimizing queries using materialized views: a practical  scalable solution,International Conference on Management of Data,2001
1124,ACM,Dynamic buffer allocation in video-on-demand systems,International Conference on Management of Data,2001
1129,ACM,Adaptive precision setting for cached approximate values,International Conference on Management of Data,2001
1131,ACM,Database research at the Indian Institute of Technology  Bombay,ACM SIGMOD Record,1996
1134,ACM,Object query standards,ACM SIGMOD Record,1996
1136,ACM,Lifestreams: a storage model for personal data,ACM SIGMOD Record,1996
1139,ACM,Database research at Arizona State University,ACM SIGMOD Record,1996
1143,ACM,Applying an update method to a set of receivers,ACM Transactions on Database Systems (TODS),2001
1148,ACM,Shutdown  budget  and funding,ACM SIGMOD Record,1996
1150,ACM,MQseries and CICS link for Lotus Notes,ACM SIGMOD Record,1996
1152,ACM,An Illustra technical white paper,ACM SIGMOD Record,1996
1154,ACM,Data Mining with optimized two-dimensional association rules,ACM Transactions on Database Systems (TODS),2001
1156,ACM,Querying ATSQL databases with temporal logic,ACM Transactions on Database Systems (TODS),2001
1160,ACM,I/O reference behavior of production database workloads and the TPC benchmarks-an analysis at the logical level,ACM Transactions on Database Systems (TODS),2001
1164,ACM,Probabilistic temporal databases  I: algebra,ACM Transactions on Database Systems (TODS),2001
1167,ACM,Answering queries with useful bindings,ACM Transactions on Database Systems (TODS),2001
1168,ACM,Probabilistic object bases,ACM Transactions on Database Systems (TODS),2001
1172,ACM,Reminiscences in influential papers,ACM SIGMOD Record,1998
1173,ACM,Flexible support for multiple access control policies,ACM Transactions on Database Systems (TODS),2001
1176,ACM,Multiway spatial joins,ACM Transactions on Database Systems (TODS),2001
1177,ACM,SchemaSQL: An extension to SQL for multidatabase interoperability,ACM Transactions on Database Systems (TODS),2001
1180,ACM,An extension of the relational data model to incorporate ordered domains,ACM Transactions on Database Systems (TODS),2001
1182,ACM,A case for dynamic view management,ACM Transactions on Database Systems (TODS),2001
1183,ACM,Distributed query evaluation on semistructured data,ACM Transactions on Database Systems (TODS),2002
1184,ACM,Atomicity and isolation for transactional processes,ACM Transactions on Database Systems (TODS),2002
1188,ACM,Editorial,ACM Transactions on Database Systems (TODS),2001
1189,ACM,Editorial,ACM Transactions on Database Systems (TODS),2001
1190,ACM,Data management issues in electronic commerce: guest editor's introduction,ACM SIGMOD Record,2002
1191,ACM,The design and performance evaluation of alternative XML storage strategies,ACM SIGMOD Record,2002
1195,ACM,A logical foundation for deductive object-oriented databases,ACM Transactions on Database Systems (TODS),2002
1199,ACM,Data management issues in electronic commerce,ACM SIGMOD Record,2002
1200,ACM,An active functionality service for e-business applications,ACM SIGMOD Record,2002
1203,ACM,Contracting in the days of eBusiness,ACM SIGMOD Record,2002
1207,ACM,Supporting global user profiles through trusted authorities,ACM SIGMOD Record,2002
1208,ACM,The n-tier hub technology,ACM SIGMOD Record,2002
1212,ACM,Snowball: a prototype system for extracting relations from large text collections,International Conference on Management of Data,2001
1217,ACM,Fault-tolerant  load-balancing queries in telegraph,International Conference on Management of Data,2001
1220,ACM,Spatial data management for computer aided design,International Conference on Management of Data,2001
1224,ACM,PBIR - perception-based image retrieval,International Conference on Management of Data,2001
